P48774," Direct protein sequencing,  Phosphoprotein,  Reference proteome, Cytoplasm, Transferase"
O55100," Membrane,  Alternative splicing,  Synapse,  Cell junction, Acetylation,  Transmembrane helix, Direct protein sequencing,  Reference proteome, Transmembrane,  Cytoplasmic vesicle"
Q9ERB0,"Golgi apparatus,  Membrane,  Phosphoprotein,  Coiled coil,  Transport, Autophagy,  Cell membrane, Reference proteome,  Cytoplasm,  Protein transport,  Cell projection,  Cilium,  Cytoplasmic vesicle, Cilium biogenesis/degradation"
Q8R570," Membrane,  Coiled coil,  Cytoplasm, Alternative splicing,  Reference proteome, Repeat"
Q8R2K7," Reference proteome,  Transcription, Nucleus,  Transcription regulation"
Q6PE01," Ubl conjugation,  Methylation, Reference proteome,  Repeat,  WD repeat,  mRNA processing,  mRNA splicing,  Nucleus, Isopeptide bond,  Spliceosome"
Q8VDU5,"Nucleotide-binding,  Phosphoprotein,  Methylation,  Magnesium,  Transferase, ATP-binding, Serine/threonine-protein kinase,  Nucleus,  Reference proteome,  Metal-binding,  Kinase"
Q9Z315," Ubl conjugation, Phosphoprotein,  Isopeptide bond,  mRNA processing,  mRNA splicing,  Nucleus,  Reference proteome, Coiled coil,  Spliceosome"
Q3TIX9," Phosphoprotein,  Zinc-finger, Ubl conjugation,  Isopeptide bond,  Cell division,  mRNA processing, Cell cycle, mRNA splicing,  Nucleus,  Reference proteome,  Metal-binding,  Spliceosome,  Zinc"
Q9CSN1,"Transcription regulation,  Ubl conjugation, Phosphoprotein,  Isopeptide bond,  mRNA processing,  mRNA splicing, Acetylation,  Nucleus,  Reference proteome,  Transcription,  Spliceosome"
Q3UHD6," Membrane,  Transport,  Endosome, Phosphoprotein,  Lipid-binding,  Cytoplasm, Alternative splicing,  Protein transport,  Reference proteome"
Q811G3,"Transcription regulation,  Alternative splicing,  Cell cycle,  Ubl conjugation,  Methylation, Phosphoprotein,  DNA-binding,  Repeat,  mRNA processing,  mRNA splicing, Acetylation,  Nucleus,  RNA-binding,  Reference proteome, Isopeptide bond,  Transcription"
Q9EPR5," Membrane,  Endosome, Synaptosome,  Cell membrane, Cytoplasmic vesicle,  Disulfide bond,  Repeat, 3D-structure,  Synapse, Postsynaptic cell membrane,  Glycoprotein,  Cell projection,  Transmembrane helix,  Reference proteome,  Signal,  Transmembrane,  Cell junction"
O88307," Membrane,  Receptor,  Endosome,  Transmembrane helix,  Reference proteome,  Endocytosis, Transmembrane,  Transport,  Secreted,  Golgi apparatus,  Glycoprotein, Cell membrane,  Cytoplasmic vesicle, Endoplasmic reticulum,  Disulfide bond, Phosphoprotein,  Signal,  EGF-like domain,  Cleavage on pair of basic residues,  Repeat, Developmental protein"
Q920B9,"DNA repair,  Phosphoprotein,  Coiled coil, Ubl conjugation, Reference proteome,  DNA replication,  Isopeptide bond,  Chromosome,  Transcription regulation, Acetylation,  Nucleus,  DNA damage,  Transcription,  ADP-ribosylation"
Q64HY3," Phosphoprotein, Reference proteome,  DNA-binding,  Repeat,  Transcription regulation, Zinc-finger, Alternative splicing,  Nucleus,  Transcription,  Metal-binding,  Zinc"
P29621," Secreted, Glycoprotein,  Reference proteome,  Signal, Serine protease inhibitor,  Protease inhibitor"
Q9QYY8," Cytoskeleton,  Endosome,  Alternative splicing,  Cell cycle, Membrane,  Microtubule,  Developmental protein,  Reference proteome,  ATP-binding, Phosphoprotein,  Nucleotide-binding, Allosteric enzyme, Cell division,  Cytoplasm, Differentiation,  Neurogenesis,  Endoplasmic reticulum,  Nucleus,  Isomerase,  Lipid droplet"
Q60854," Acetylation,  Phosphoprotein,  Serine protease inhibitor, Reference proteome, 3D-structure,  Cytoplasm,  Protease inhibitor"
Q148B6," Cytoskeleton,  Coiled coil, Reference proteome,  Cytoplasm, Alternative splicing"
Q8R1K2," Membrane,  Direct protein sequencing, Nucleotide-binding,  Reference proteome,  Mitochondrion inner membrane,  Protease,  Mitochondrion,  Hydrolase, ATP-binding,  Transit peptide,  Transmembrane helix, Metalloprotease,  Nitration,  Metal-binding, Transmembrane,  Zinc"
Q64105," Acetylation,  Phosphoprotein, Reference proteome, 3D-structure,  Cytoplasm,  Oxidoreductase,  NADP"
P70663," Secreted,  Extracellular matrix,  Disulfide bond, Phosphoprotein,  Glycoprotein, Calcium,  Reference proteome,  Signal,  Metal-binding"
Q6NV83," Coiled coil,  Alternative splicing,  Ubl conjugation, Phosphoprotein,  Isopeptide bond, Acetylation,  Nucleus,  RNA-binding,  Reference proteome"
Q3UTJ2," Membrane,  Cytoskeleton,  Phosphoprotein,  Ubl conjugation,  Cell membrane,  SH3 domain, Repeat, Alternative splicing,  Cell projection,  Reference proteome, Cytoplasm,  Cell junction"
Q9QWI6," Cytoskeleton,  Exocytosis,  Coiled coil,  Phosphoprotein,  Methylation, Reference proteome,  Synapse, Alternative splicing,  Cell projection, Cytoplasm,  Cell junction"
P05480," Myristate, Nucleotide-binding,  Lipoprotein,  Cell adhesion, 3D-structure,  Proto-oncogene,  Kinase,  Cell cycle,  Immunity,  Mitochondrion inner membrane,  Ubl conjugation, Reference proteome,  Cytoplasm, Cell membrane,  Cell junction,  SH3 domain,  Cytoskeleton, Tyrosine-protein kinase,  ATP-binding,  Mitochondrion,  Transferase,  Phosphoprotein, Membrane,  SH2 domain,  Nucleus"
Q91Z67," Membrane,  Phosphoprotein,  Coiled coil,  Cell membrane,  Methylation, Neurogenesis, Cytoplasmic vesicle, Cell junction, Reference proteome,  Synapse,  GTPase activation,  Cytoplasm,  Postsynaptic cell membrane,  Cell projection,  Nucleus,  SH3 domain"
Q812A2," Phosphoprotein,  GTPase activation, SH3 domain,  Reference proteome, Coiled coil"
Q8BMA6," Phosphoprotein,  Signal recognition particle,  Cytoplasm, Acetylation,  Nucleus,  RNA-binding,  Reference proteome, Ribonucleoprotein"
O54781,"mRNA processing, Phosphoprotein,  Nucleotide-binding,  Chromosome, ATP-binding,  Cytoplasm,  mRNA splicing,  Serine/threonine-protein kinase,  Nucleus,  Reference proteome,  Differentiation, Transferase,  Kinase"
Q8BTI8," Direct protein sequencing,  Coiled coil,  Alternative splicing,  Ubl conjugation,  Methylation, Phosphoprotein,  mRNA processing,  mRNA splicing, Acetylation,  Nucleus,  Reference proteome, Isopeptide bond,  Spliceosome"
Q99MR6,"Methylation,  Phosphoprotein,  Alternative splicing, Ubl conjugation, RNA-mediated gene silencing,  Isopeptide bond,  Transcription regulation,  Cytoplasm, Acetylation,  Nucleus,  Reference proteome,  Transcription,  Activator"
Q8BL97," Zinc-finger,  Alternative splicing,  Ubl conjugation, Transport, Phosphoprotein,  mRNA transport,  Isopeptide bond,  Repeat,  mRNA processing,  mRNA splicing,  Cytoplasm, Acetylation,  Nucleus,  RNA-binding,  Reference proteome,  Repressor, Metal-binding,  Zinc"
Q8BWF0," Direct protein sequencing,  Phosphoprotein,  NAD,  Mitochondrion,  Disulfide bond, Oxidoreductase, Acetylation,  Transit peptide,  Reference proteome"
Q5SW75," Phosphoprotein,  Alternative splicing, Reference proteome, Actin-binding,  Hydrolase,  Protein phosphatase,  Cytoplasm, Cytoskeleton,  Cell junction"
Q8BG48," Membrane, Nucleotide-binding,  Phosphoprotein, Apoptosis,  Cell membrane,  ATP-binding,  Transferase, Serine/threonine-protein kinase,  Nucleus,  Reference proteome,  Kinase"
Q3UZZ6," Catecholamine metabolism, Reference proteome, 3D-structure,  Transferase,  Cytoplasm,  Lipid metabolism"
Q9CQ26," Membrane,  Metalloprotease,  Endosome, Nucleus,  Phosphoprotein,  Ubl conjugation,  Protease, Ubl conjugation pathway,  Hydrolase,  Reference proteome, Cytoplasm,  Metal-binding,  Zinc"
P97306," Membrane,  Zinc,  Zinc-finger,  Cytoplasm,  Reference proteome, Repeat,  Metal-binding, Cell membrane,  SH3 domain"
P70297," Membrane,  Transport,  Phosphoprotein,  Endosome, Ubl conjugation,  SH3 domain,  Isopeptide bond,  Reference proteome, Cytoplasm, Protein transport"
Q9WVL2," Phosphoprotein, Ubl conjugation,  SH2 domain, Reference proteome,  DNA-binding,  Transcription regulation,  Cytoplasm,  Nucleus, Activator,  Transcription"
Q5DQR4," Membrane,  Transport,  Phosphoprotein,  Coiled coil,  Alternative splicing,  Ubl conjugation,  Cell membrane,  Methylation,  Repeat, WD repeat,  Polymorphism,  Cytoplasm, Acetylation,  Reference proteome, Exocytosis, Protein transport"
Q69ZM6,"Nucleotide-binding,  Developmental protein,  ATP-binding,  Magnesium,  Cilium biogenesis/degradation,  Transferase, Serine/threonine-protein kinase, Alternative splicing,  Nucleus,  Reference proteome, Cytoplasm,  Metal-binding,  Kinase"
Q91VJ4,"Nucleotide-binding,  Phosphoprotein,  Ubl conjugation,  Magnesium,  ATP-binding,  Transferase,  Cytoplasm, Acetylation, Serine/threonine-protein kinase,  Nucleus,  Reference proteome,  Metal-binding,  Kinase"
P54116," Membrane,  Cytoskeleton,  Phosphoprotein, Lipoprotein,  Cell membrane,  Palmitate, 3D-structure,  Cytoplasm,  Reference proteome,  Cytoplasmic vesicle"
Q8VIM6," Hearing, Cell projection,  Glycoprotein,  Reference proteome,  Signal,  Cilium"
Q9ERG2," Membrane,  Coiled coil,  Calmodulin-binding, Phosphoprotein,  Repeat,  WD repeat,  Cytoplasm, Acetylation,  Reference proteome"
Q9ER00," Membrane,  Transport,  Coiled coil,  Endosome,  Golgi apparatus, Phosphoprotein, Acetylation,  Protein transport,  Reference proteome,  Transmembrane, Transmembrane helix"
Q9JKK1," Membrane,  Transport,  Coiled coil,  Alternative splicing,  Golgi apparatus, Phosphoprotein, Acetylation,  Protein transport,  Reference proteome,  Transmembrane, Transmembrane helix"
Q8BG39," Membrane,  Receptor,  Phosphoprotein, Synapse,  Transport, Cell junction, Neurotransmitter transport,  Glycoprotein,  Transmembrane helix,  Reference proteome,  Transmembrane,  Cytoplasmic vesicle"
Q8BZW2," Reference proteome,  Phosphoprotein,  Repeat, ANK repeat"
Q8BY98," Reference proteome,  Repeat, ANK repeat"
Q14CH7,"Aminoacyl-tRNA synthetase,  Ligase,  ATP-binding, Reference proteome,  Nucleotide-binding, Mitochondrion,  Protein biosynthesis,  Transit peptide,  tRNA-binding,  RNA-binding,  Metal-binding,  Zinc"
Q9CZD3," Direct protein sequencing,  Phosphoprotein,  Ligase,  Secreted,  ATP-binding,  Hydrolase, Reference proteome,  Nucleotide-binding, Mitochondrion,  Protein biosynthesis,  Transferase, Acetylation,  Disease mutation,  Cell projection,  Aminoacyl-tRNA synthetase, Cytoplasm"
Q61035,"Nucleotide-binding,  Phosphoprotein,  Ligase,  ATP-binding, Reference proteome,  Protein biosynthesis,  Cytoplasm, Acetylation,  Aminoacyl-tRNA synthetase"
Q8BU30,"Nucleotide-binding,  Phosphoprotein,  Ligase,  ATP-binding, Reference proteome,  Protein biosynthesis,  Cytoplasm, Acetylation,  Aminoacyl-tRNA synthetase"
Q99MN1," Membrane, Protein biosynthesis,  Phosphoprotein,  Ligase,  Secreted,  Cell membrane,  ATP-binding,  Nucleotide-binding,  Transferase, Acetylation,  Nucleus,  Reference proteome,  Aminoacyl-tRNA synthetase, Cytoplasm"
Q8VDC0,"Nucleotide-binding,  Ligase,  Mitochondrion,  ATP-binding,  Protein biosynthesis, Transit peptide, Acetylation,  Reference proteome,  Aminoacyl-tRNA synthetase"
Q68FL6,"Aminoacyl-tRNA synthetase, Nucleotide-binding,  Phosphoprotein,  Ligase,  ATP-binding, Reference proteome,  Protein biosynthesis,  Cytoplasm,  tRNA-binding,  Nucleus,  RNA-binding"
Q8BP47,"Nucleotide-binding,  Phosphoprotein,  Ligase,  ATP-binding, Reference proteome,  Protein biosynthesis,  Cytoplasm, Acetylation,  Aminoacyl-tRNA synthetase"
Q6ZWR6," Membrane,  Cytoskeleton,  Phosphoprotein,  Coiled coil,  Alternative splicing, Reference proteome, Actin-binding,  Disulfide bond,  Repeat,  Spermatogenesis,  Cytoplasm, Differentiation,  Nucleus,  Transmembrane, Transmembrane helix"
Q5SV85,"Golgi apparatus,  Membrane,  Phosphoprotein,  Coiled coil,  Alternative splicing,  Transport, Reference proteome,  Repeat,  Cytoplasm, Acetylation,  Protein transport,  Endocytosis"
Q9D0I9,"Nucleotide-binding,  Ligase,  ATP-binding,  Protein biosynthesis,  Cytoplasm, Acetylation,  Reference proteome,  Aminoacyl-tRNA synthetase"
P46097," Membrane,  Phosphoprotein, Reference proteome,  Repeat, 3D-structure,  Synapse,  Cell junction,  Cytoplasm,  Calcium, Differentiation,  Glycoprotein,  Transmembrane helix,  Transmembrane,  Metal-binding,  Cytoplasmic vesicle"
Q9R0N7," Membrane,  Lipoprotein, Cell junction, 3D-structure,  Transmembrane helix,  Reference proteome, Exocytosis, Transmembrane,  Methylation,  Peroxisome,  Synapse, Palmitate,  Cell projection,  Cytoplasmic vesicle,  Alternative splicing,  Calcium,  Phosphoprotein,  Cell membrane,  Calmodulin-binding,  Repeat,  Metal-binding,  Lysosome"
Q9D0R2,"Nucleotide-binding,  Phosphoprotein,  Ligase,  Ubl conjugation,  ATP-binding, Reference proteome,  Protein biosynthesis,  Cytoplasm, Acetylation,  Aminoacyl-tRNA synthetase"
Q99N80," Membrane,  Exocytosis,  Phosphoprotein,  Reference proteome, Repeat, Cell membrane"
Q9Z1Q9,"Nucleotide-binding,  Phosphoprotein,  Ligase,  ATP-binding, Reference proteome,  Protein biosynthesis, Acetylation,  Aminoacyl-tRNA synthetase"
Q9CYK1,"Aminoacyl-tRNA synthetase, Nucleotide-binding,  Ligase,  ATP-binding,  Mitochondrion,  Protein biosynthesis, Transit peptide,  Reference proteome"
Q8CF89," Reference proteome,  Phosphoprotein,  Ubl conjugation, 3D-structure"
Q921F2," Direct protein sequencing,  Phosphoprotein, Nucleus,  Ubl conjugation,  Methylation,  Repeat, 3D-structure, DNA-binding,  Isopeptide bond,  mRNA processing,  Cytoplasm,  Biological rhythms,  mRNA splicing, RNA-binding,  Transcription regulation,  Reference proteome,  Repressor,  Transcription"
Q9WVA4," Direct protein sequencing,  Ubl conjugation,  Methylation, Phosphoprotein,  Isopeptide bond, Acetylation,  Reference proteome"
Q8R2N0,"Transcription regulation, Alternative splicing,  Nucleus,  Reference proteome,  Transcription"
Q4VBD2," Membrane,  Cytoskeleton, Phosphoprotein,  Chondrogenesis,  Osteogenesis,  Transmembrane,  Cytoplasm, Acetylation,  Transmembrane helix,  Cell projection,  Cilium,  Reference proteome,  Differentiation, Developmental protein, Cilium biogenesis/degradation"
P58871," Cytoskeleton,  Phosphoprotein, Nucleus, ADP-ribosylation,  Methylation,  Chromosome,  Cytoplasm,  Reference proteome"
Q8R5A6," Phosphoprotein,  Alternative splicing, Reference proteome,  GTPase activation, Acetylation"
Q9D1E6," Acetylation,  Cytoskeleton,  Ubl conjugation,  Microtubule,  Chaperone, Phosphoprotein, 3D-structure,  Neurogenesis,  Cytoplasm,  Reference proteome,  Differentiation, Developmental protein"
Q91YM4," Reference proteome,  Mitochondrion, Alternative splicing,  Transit peptide"
Q8K402,"Transcription regulation, DNA-binding,  Nucleus,  Reference proteome,  Transcription"
Q60707," Phosphoprotein,  Transcription, Reference proteome,  DNA-binding,  Transcription regulation,  Nucleus, Developmental protein"
Q8CCT4," Reference proteome,  Transcription, Nucleus,  Transcription regulation"
P10711," Direct protein sequencing,  Phosphoprotein,  Zinc-finger,  Alternative splicing, Ubl conjugation, Reference proteome,  DNA-binding,  Transcription regulation, Acetylation,  Nucleus, Isopeptide bond,  Transcription,  Metal-binding,  Zinc"
Q9EPQ8," Phosphoprotein, Transcription,  Alternative splicing,  Ubl conjugation,  Methylation,  DNA-binding,  Isopeptide bond,  Transcription regulation, Zinc-finger, Acetylation,  Nucleus,  Reference proteome, Metal-binding,  Activator,  Zinc"
P80318," Acetylation, Nucleotide-binding,  Phosphoprotein,  Ubl conjugation,  Chaperone,  ATP-binding,  Disulfide bond, 3D-structure,  Isopeptide bond,  Cytoplasm, Direct protein sequencing,  Reference proteome"
P42932," Direct protein sequencing, Nucleotide-binding,  Phosphoprotein,  Ubl conjugation,  Chaperone,  ATP-binding,  Isopeptide bond,  Cytoplasm, Acetylation,  Cell projection,  Reference proteome, Cytoskeleton,  Cilium"
Q8CGF7,"Methylation,  Coiled coil,  Alternative splicing,  Phosphoprotein, Ubl conjugation,  Isopeptide bond, 3D-structure,  Transcription regulation,  Polymorphism,  Nucleus,  Reference proteome, Repeat,  Transcription,  Repressor"
Q9CY27," Phosphoprotein, Membrane, Fatty acid metabolism,  Reference proteome,  Steroid biosynthesis, Sphingolipid metabolism, Acetylation,  Glycoprotein,  Endoplasmic reticulum, Transmembrane helix,  Oxidoreductase,  Fatty acid biosynthesis,  Transmembrane,  Lipid biosynthesis,  Lipid metabolism,  NADP"
Q9WTS5," Membrane,  Synaptosome,  Transmembrane helix,  Reference proteome, Transmembrane,  Golgi apparatus,  Synapse,  Postsynaptic cell membrane,  Glycoprotein,  Cell projection,  Cell junction, Endoplasmic reticulum,  Disulfide bond, Phosphoprotein, Repressor,  Transcription regulation, Cleavage on pair of basic residues,  Cell membrane,  EGF-like domain,  Repeat, Cell adhesion,  Nucleus,  Transcription"
Q7M6U3,"Nucleotide-binding,  Phosphoprotein,  Cell cycle,  ATP-binding,  Repeat,  Cell division,  ANK repeat,  Chromosome,  Cytoplasm,  Kinetochore, Alternative splicing,  Mitosis,  Reference proteome, Centromere"
Q8BL74," Phosphoprotein, Nucleus,  Repeat, WD repeat,  Reference proteome,  Transcription"
Q9ERA0," Phosphoprotein, Reference proteome,  DNA-binding,  Transcription regulation, Alternative splicing,  Nucleus,  Transcription"
Q3UR70," Transport,  Endosome, Reference proteome,  Cytoplasm,  Protein transport, Alternative splicing"
Q9D305," Zinc-finger, DNA-binding,  Reference proteome,  Metal-binding,  Zinc"
Q3UUI3," Apoptosis, Membrane,  Phosphoprotein, Fatty acid metabolism,  Cell membrane,  Mitochondrion inner membrane,  Mitochondrion,  Host-virus interaction,  Hydrolase, Reference proteome,  Cytoplasm, Acetylation,  Transit peptide,  Cell projection,  Lipid metabolism"
Q8CAY6," Direct protein sequencing, Reference proteome,  Acyltransferase,  Transferase,  Cytoplasm, Acetylation"
Q921H8," Fatty acid metabolism,  Acyltransferase,  Transferase, Acetylation,  Transit peptide, Peroxisome,  Reference proteome,  Lipid metabolism"
P10639," Transport, Nucleus, Secreted,  Disulfide bond,  Transcription regulation,  Cytoplasm, Acetylation,  Redox-active center,  Reference proteome,  Transcription,  Electron transport,  Activator,  S-nitrosylation"
